"s2","s1","time","z"
13.75,3.75,2000-11-03 08:25:00,37
11.25,3.75,2000-11-03 08:25:00,26
8.75,3.75,2000-11-03 08:25:00,-2
6.25,3.75,2000-11-03 08:25:00,0
3.75,3.75,2000-11-03 08:25:00,0
1.25,3.75,2000-11-03 08:25:00,0
98.75,6.25,2000-11-03 08:25:00,-1
96.25,6.25,2000-11-03 08:25:00,-3
93.75,6.25,2000-11-03 08:25:00,2
91.25,6.25,2000-11-03 08:25:00,8
88.75,6.25,2000-11-03 08:25:00,0
86.25,6.25,2000-11-03 08:25:00,0
83.75,6.25,2000-11-03 08:25:00,0
81.25,6.25,2000-11-03 08:25:00,0
78.75,6.25,2000-11-03 08:25:00,0
76.25,6.25,2000-11-03 08:25:00,0
73.75,6.25,2000-11-03 08:25:00,0
71.25,6.25,2000-11-03 08:25:00,0
68.75,6.25,2000-11-03 08:25:00,0
66.25,6.25,2000-11-03 08:25:00,0
63.75,6.25,2000-11-03 08:25:00,0
61.25,6.25,2000-11-03 08:25:00,0
58.75,6.25,2000-11-03 08:25:00,0
56.25,6.25,2000-11-03 08:25:00,0
53.75,6.25,2000-11-03 08:25:00,0
51.25,6.25,2000-11-03 08:25:00,0
48.75,6.25,2000-11-03 08:25:00,0
46.25,6.25,2000-11-03 08:25:00,7
43.75,6.25,2000-11-03 08:25:00,0
41.25,6.25,2000-11-03 08:25:00,0
38.75,6.25,2000-11-03 08:25:00,-14
36.25,6.25,2000-11-03 08:25:00,0
33.75,6.25,2000-11-03 08:25:00,0
31.25,6.25,2000-11-03 08:25:00,10
28.75,6.25,2000-11-03 08:25:00,22
26.25,6.25,2000-11-03 08:25:00,24
23.75,6.25,2000-11-03 08:25:00,26
21.25,6.25,2000-11-03 08:25:00,21
18.75,6.25,2000-11-03 08:25:00,25
16.25,6.25,2000-11-03 08:25:00,34
13.75,6.25,2000-11-03 08:25:00,15
11.25,6.25,2000-11-03 08:25:00,10
8.75,6.25,2000-11-03 08:25:00,0
6.25,6.25,2000-11-03 08:25:00,0
3.75,6.25,2000-11-03 08:25:00,0
1.25,6.25,2000-11-03 08:25:00,0
98.75,8.75,2000-11-03 08:25:00,0
96.25,8.75,2000-11-03 08:25:00,0
93.75,8.75,2000-11-03 08:25:00,1
91.25,8.75,2000-11-03 08:25:00,6
88.75,8.75,2000-11-03 08:25:00,0
86.25,8.75,2000-11-03 08:25:00,0
83.75,8.75,2000-11-03 08:25:00,0
81.25,8.75,2000-11-03 08:25:00,0
78.75,8.75,2000-11-03 08:25:00,0
76.25,8.75,2000-11-03 08:25:00,0
73.75,8.75,2000-11-03 08:25:00,0
71.25,8.75,2000-11-03 08:25:00,0
68.75,8.75,2000-11-03 08:25:00,0
66.25,8.75,2000-11-03 08:25:00,0
63.75,8.75,2000-11-03 08:25:00,0
61.25,8.75,2000-11-03 08:25:00,0
58.75,8.75,2000-11-03 08:25:00,0
56.25,8.75,2000-11-03 08:25:00,0
53.75,8.75,2000-11-03 08:25:00,0
51.25,8.75,2000-11-03 08:25:00,0
48.75,8.75,2000-11-03 08:25:00,0
46.25,8.75,2000-11-03 08:25:00,0
43.75,8.75,2000-11-03 08:25:00,0
41.25,8.75,2000-11-03 08:25:00,-6
38.75,8.75,2000-11-03 08:25:00,0
36.25,8.75,2000-11-03 08:25:00,17
33.75,8.75,2000-11-03 08:25:00,2
31.25,8.75,2000-11-03 08:25:00,4
28.75,8.75,2000-11-03 08:25:00,35
26.25,8.75,2000-11-03 08:25:00,39
23.75,8.75,2000-11-03 08:25:00,24
21.25,8.75,2000-11-03 08:25:00,20
18.75,8.75,2000-11-03 08:25:00,9
16.25,8.75,2000-11-03 08:25:00,12
13.75,8.75,2000-11-03 08:25:00,0
11.25,8.75,2000-11-03 08:25:00,0
8.75,8.75,2000-11-03 08:25:00,0
6.25,8.75,2000-11-03 08:25:00,-5
3.75,8.75,2000-11-03 08:25:00,0
1.25,8.75,2000-11-03 08:25:00,-13
98.75,11.25,2000-11-03 08:25:00,0
96.25,11.25,2000-11-03 08:25:00,0
93.75,11.25,2000-11-03 08:25:00,2
91.25,11.25,2000-11-03 08:25:00,0
88.75,11.25,2000-11-03 08:25:00,0
86.25,11.25,2000-11-03 08:25:00,0
83.75,11.25,2000-11-03 08:25:00,0
81.25,11.25,2000-11-03 08:25:00,0
78.75,11.25,2000-11-03 08:25:00,0
76.25,11.25,2000-11-03 08:25:00,0
73.75,11.25,2000-11-03 08:25:00,0
71.25,11.25,2000-11-03 08:25:00,0
68.75,11.25,2000-11-03 08:25:00,0
66.25,11.25,2000-11-03 08:25:00,0
63.75,11.25,2000-11-03 08:25:00,0
61.25,11.25,2000-11-03 08:25:00,0
58.75,11.25,2000-11-03 08:25:00,0
56.25,11.25,2000-11-03 08:25:00,0
53.75,11.25,2000-11-03 08:25:00,0
51.25,11.25,2000-11-03 08:25:00,0
48.75,11.25,2000-11-03 08:25:00,0
46.25,11.25,2000-11-03 08:25:00,0
43.75,11.25,2000-11-03 08:25:00,0
41.25,11.25,2000-11-03 08:25:00,0
38.75,11.25,2000-11-03 08:25:00,0
36.25,11.25,2000-11-03 08:25:00,0
33.75,11.25,2000-11-03 08:25:00,-5
31.25,11.25,2000-11-03 08:25:00,2
28.75,11.25,2000-11-03 08:25:00,19
26.25,11.25,2000-11-03 08:25:00,20
23.75,11.25,2000-11-03 08:25:00,18
21.25,11.25,2000-11-03 08:25:00,3
18.75,11.25,2000-11-03 08:25:00,0
16.25,11.25,2000-11-03 08:25:00,0
13.75,11.25,2000-11-03 08:25:00,0
11.25,11.25,2000-11-03 08:25:00,-10
8.75,11.25,2000-11-03 08:25:00,-9
6.25,11.25,2000-11-03 08:25:00,0
3.75,11.25,2000-11-03 08:25:00,0
1.25,11.25,2000-11-03 08:25:00,0
98.75,13.75,2000-11-03 08:25:00,0
96.25,13.75,2000-11-03 08:25:00,1
93.75,13.75,2000-11-03 08:25:00,0
91.25,13.75,2000-11-03 08:25:00,0
88.75,13.75,2000-11-03 08:25:00,0
86.25,13.75,2000-11-03 08:25:00,0
83.75,13.75,2000-11-03 08:25:00,0
81.25,13.75,2000-11-03 08:25:00,0
78.75,13.75,2000-11-03 08:25:00,0
76.25,13.75,2000-11-03 08:25:00,0
73.75,13.75,2000-11-03 08:25:00,0
71.25,13.75,2000-11-03 08:25:00,0
68.75,13.75,2000-11-03 08:25:00,0
66.25,13.75,2000-11-03 08:25:00,0
63.75,13.75,2000-11-03 08:25:00,0
61.25,13.75,2000-11-03 08:25:00,0
58.75,13.75,2000-11-03 08:25:00,0
56.25,13.75,2000-11-03 08:25:00,0
53.75,13.75,2000-11-03 08:25:00,-8
51.25,13.75,2000-11-03 08:25:00,-2
48.75,13.75,2000-11-03 08:25:00,0
46.25,13.75,2000-11-03 08:25:00,1
43.75,13.75,2000-11-03 08:25:00,1
41.25,13.75,2000-11-03 08:25:00,0
38.75,13.75,2000-11-03 08:25:00,0
36.25,13.75,2000-11-03 08:25:00,-6
33.75,13.75,2000-11-03 08:25:00,1
31.25,13.75,2000-11-03 08:25:00,0
28.75,13.75,2000-11-03 08:25:00,7
26.25,13.75,2000-11-03 08:25:00,6
23.75,13.75,2000-11-03 08:25:00,0
21.25,13.75,2000-11-03 08:25:00,-6
18.75,13.75,2000-11-03 08:25:00,-10
16.25,13.75,2000-11-03 08:25:00,0
13.75,13.75,2000-11-03 08:25:00,0
11.25,13.75,2000-11-03 08:25:00,0
8.75,13.75,2000-11-03 08:25:00,0
6.25,13.75,2000-11-03 08:25:00,0
3.75,13.75,2000-11-03 08:25:00,0
1.25,13.75,2000-11-03 08:25:00,0
98.75,16.25,2000-11-03 08:25:00,0
96.25,16.25,2000-11-03 08:25:00,0
93.75,16.25,2000-11-03 08:25:00,-2
91.25,16.25,2000-11-03 08:25:00,0
88.75,16.25,2000-11-03 08:25:00,0
86.25,16.25,2000-11-03 08:25:00,0
83.75,16.25,2000-11-03 08:25:00,0
81.25,16.25,2000-11-03 08:25:00,0
78.75,16.25,2000-11-03 08:25:00,0
76.25,16.25,2000-11-03 08:25:00,0
73.75,16.25,2000-11-03 08:25:00,0
71.25,16.25,2000-11-03 08:25:00,0
68.75,16.25,2000-11-03 08:25:00,0
66.25,16.25,2000-11-03 08:25:00,0
63.75,16.25,2000-11-03 08:25:00,0
61.25,16.25,2000-11-03 08:25:00,-2
58.75,16.25,2000-11-03 08:25:00,4
56.25,16.25,2000-11-03 08:25:00,19
53.75,16.25,2000-11-03 08:25:00,17
51.25,16.25,2000-11-03 08:25:00,10
48.75,16.25,2000-11-03 08:25:00,6
46.25,16.25,2000-11-03 08:25:00,4
43.75,16.25,2000-11-03 08:25:00,17
41.25,16.25,2000-11-03 08:25:00,8
38.75,16.25,2000-11-03 08:25:00,2
36.25,16.25,2000-11-03 08:25:00,2
33.75,16.25,2000-11-03 08:25:00,-8
31.25,16.25,2000-11-03 08:25:00,0
28.75,16.25,2000-11-03 08:25:00,0
26.25,16.25,2000-11-03 08:25:00,0
23.75,16.25,2000-11-03 08:25:00,0
21.25,16.25,2000-11-03 08:25:00,0
18.75,16.25,2000-11-03 08:25:00,-10
16.25,16.25,2000-11-03 08:25:00,0
13.75,16.25,2000-11-03 08:25:00,0
11.25,16.25,2000-11-03 08:25:00,-4
8.75,16.25,2000-11-03 08:25:00,0
6.25,16.25,2000-11-03 08:25:00,0
3.75,16.25,2000-11-03 08:25:00,0
1.25,16.25,2000-11-03 08:25:00,0
98.75,18.75,2000-11-03 08:25:00,0
96.25,18.75,2000-11-03 08:25:00,0
93.75,18.75,2000-11-03 08:25:00,0
91.25,18.75,2000-11-03 08:25:00,0
88.75,18.75,2000-11-03 08:25:00,0
86.25,18.75,2000-11-03 08:25:00,0
83.75,18.75,2000-11-03 08:25:00,0
81.25,18.75,2000-11-03 08:25:00,0
78.75,18.75,2000-11-03 08:25:00,0
76.25,18.75,2000-11-03 08:25:00,0
73.75,18.75,2000-11-03 08:25:00,0
71.25,18.75,2000-11-03 08:25:00,0
68.75,18.75,2000-11-03 08:25:00,0
66.25,18.75,2000-11-03 08:25:00,0
63.75,18.75,2000-11-03 08:25:00,-3
61.25,18.75,2000-11-03 08:25:00,6
58.75,18.75,2000-11-03 08:25:00,23
56.25,18.75,2000-11-03 08:25:00,23
53.75,18.75,2000-11-03 08:25:00,20
51.25,18.75,2000-11-03 08:25:00,16
48.75,18.75,2000-11-03 08:25:00,18
46.25,18.75,2000-11-03 08:25:00,12
43.75,18.75,2000-11-03 08:25:00,1
41.25,18.75,2000-11-03 08:25:00,4
38.75,18.75,2000-11-03 08:25:00,-5
36.25,18.75,2000-11-03 08:25:00,-9
33.75,18.75,2000-11-03 08:25:00,-11
31.25,18.75,2000-11-03 08:25:00,-13
28.75,18.75,2000-11-03 08:25:00,-14
26.25,18.75,2000-11-03 08:25:00,0
23.75,18.75,2000-11-03 08:25:00,-10
21.25,18.75,2000-11-03 08:25:00,0
18.75,18.75,2000-11-03 08:25:00,1
16.25,18.75,2000-11-03 08:25:00,0
13.75,18.75,2000-11-03 08:25:00,-8
11.25,18.75,2000-11-03 08:25:00,0
8.75,18.75,2000-11-03 08:25:00,0
6.25,18.75,2000-11-03 08:25:00,0
3.75,18.75,2000-11-03 08:25:00,-3
1.25,18.75,2000-11-03 08:25:00,0
98.75,21.25,2000-11-03 08:25:00,0
96.25,21.25,2000-11-03 08:25:00,0
93.75,21.25,2000-11-03 08:25:00,0
91.25,21.25,2000-11-03 08:25:00,0
88.75,21.25,2000-11-03 08:25:00,0
86.25,21.25,2000-11-03 08:25:00,0
83.75,21.25,2000-11-03 08:25:00,0
81.25,21.25,2000-11-03 08:25:00,0
78.75,21.25,2000-11-03 08:25:00,0
76.25,21.25,2000-11-03 08:25:00,0
73.75,21.25,2000-11-03 08:25:00,0
71.25,21.25,2000-11-03 08:25:00,0
68.75,21.25,2000-11-03 08:25:00,0
66.25,21.25,2000-11-03 08:25:00,0
63.75,21.25,2000-11-03 08:25:00,9
61.25,21.25,2000-11-03 08:25:00,14
58.75,21.25,2000-11-03 08:25:00,24
56.25,21.25,2000-11-03 08:25:00,25
53.75,21.25,2000-11-03 08:25:00,27
51.25,21.25,2000-11-03 08:25:00,25
48.75,21.25,2000-11-03 08:25:00,29
46.25,21.25,2000-11-03 08:25:00,23
43.75,21.25,2000-11-03 08:25:00,31
41.25,21.25,2000-11-03 08:25:00,17
38.75,21.25,2000-11-03 08:25:00,18
36.25,21.25,2000-11-03 08:25:00,13
33.75,21.25,2000-11-03 08:25:00,4
31.25,21.25,2000-11-03 08:25:00,19
28.75,21.25,2000-11-03 08:25:00,6
26.25,21.25,2000-11-03 08:25:00,-7
23.75,21.25,2000-11-03 08:25:00,-1
21.25,21.25,2000-11-03 08:25:00,6
18.75,21.25,2000-11-03 08:25:00,0
16.25,21.25,2000-11-03 08:25:00,-6
13.75,21.25,2000-11-03 08:25:00,14
11.25,21.25,2000-11-03 08:25:00,0
8.75,21.25,2000-11-03 08:25:00,0
6.25,21.25,2000-11-03 08:25:00,0
3.75,21.25,2000-11-03 08:25:00,0
1.25,21.25,2000-11-03 08:25:00,0
98.75,23.75,2000-11-03 08:25:00,0
96.25,23.75,2000-11-03 08:25:00,0
93.75,23.75,2000-11-03 08:25:00,0
91.25,23.75,2000-11-03 08:25:00,0
88.75,23.75,2000-11-03 08:25:00,0
86.25,23.75,2000-11-03 08:25:00,0
83.75,23.75,2000-11-03 08:25:00,0
81.25,23.75,2000-11-03 08:25:00,0
78.75,23.75,2000-11-03 08:25:00,0
76.25,23.75,2000-11-03 08:25:00,0
73.75,23.75,2000-11-03 08:25:00,0
71.25,23.75,2000-11-03 08:25:00,0
68.75,23.75,2000-11-03 08:25:00,0
66.25,23.75,2000-11-03 08:25:00,0
63.75,23.75,2000-11-03 08:25:00,13
61.25,23.75,2000-11-03 08:25:00,24
58.75,23.75,2000-11-03 08:25:00,30
56.25,23.75,2000-11-03 08:25:00,26
53.75,23.75,2000-11-03 08:25:00,29
51.25,23.75,2000-11-03 08:25:00,30
48.75,23.75,2000-11-03 08:25:00,31
46.25,23.75,2000-11-03 08:25:00,32
43.75,23.75,2000-11-03 08:25:00,31
41.25,23.75,2000-11-03 08:25:00,31
38.75,23.75,2000-11-03 08:25:00,26
36.25,23.75,2000-11-03 08:25:00,13
33.75,23.75,2000-11-03 08:25:00,5
31.25,23.75,2000-11-03 08:25:00,13
28.75,23.75,2000-11-03 08:25:00,0
26.25,23.75,2000-11-03 08:25:00,3
23.75,23.75,2000-11-03 08:25:00,-8
21.25,23.75,2000-11-03 08:25:00,0
18.75,23.75,2000-11-03 08:25:00,0
16.25,23.75,2000-11-03 08:25:00,0
13.75,23.75,2000-11-03 08:25:00,0
11.25,23.75,2000-11-03 08:25:00,0
8.75,23.75,2000-11-03 08:25:00,0
6.25,23.75,2000-11-03 08:25:00,0
3.75,23.75,2000-11-03 08:25:00,0
1.25,23.75,2000-11-03 08:25:00,0
98.75,26.25,2000-11-03 08:25:00,0
96.25,26.25,2000-11-03 08:25:00,0
93.75,26.25,2000-11-03 08:25:00,0
91.25,26.25,2000-11-03 08:25:00,0
88.75,26.25,2000-11-03 08:25:00,0
86.25,26.25,2000-11-03 08:25:00,0
83.75,26.25,2000-11-03 08:25:00,0
81.25,26.25,2000-11-03 08:25:00,0
78.75,26.25,2000-11-03 08:25:00,0
76.25,26.25,2000-11-03 08:25:00,0
73.75,26.25,2000-11-03 08:25:00,0
71.25,26.25,2000-11-03 08:25:00,0
68.75,26.25,2000-11-03 08:25:00,0
66.25,26.25,2000-11-03 08:25:00,2
63.75,26.25,2000-11-03 08:25:00,26
61.25,26.25,2000-11-03 08:25:00,30
58.75,26.25,2000-11-03 08:25:00,30
56.25,26.25,2000-11-03 08:25:00,30
53.75,26.25,2000-11-03 08:25:00,33
51.25,26.25,2000-11-03 08:25:00,30
48.75,26.25,2000-11-03 08:25:00,19
46.25,26.25,2000-11-03 08:25:00,30
43.75,26.25,2000-11-03 08:25:00,34
41.25,26.25,2000-11-03 08:25:00,32
38.75,26.25,2000-11-03 08:25:00,35
36.25,26.25,2000-11-03 08:25:00,-7
33.75,26.25,2000-11-03 08:25:00,11
31.25,26.25,2000-11-03 08:25:00,12
28.75,26.25,2000-11-03 08:25:00,9
26.25,26.25,2000-11-03 08:25:00,10
23.75,26.25,2000-11-03 08:25:00,0
21.25,26.25,2000-11-03 08:25:00,-14
18.75,26.25,2000-11-03 08:25:00,0
16.25,26.25,2000-11-03 08:25:00,0
13.75,26.25,2000-11-03 08:25:00,0
11.25,26.25,2000-11-03 08:25:00,0
8.75,26.25,2000-11-03 08:25:00,0
6.25,26.25,2000-11-03 08:25:00,3
3.75,26.25,2000-11-03 08:25:00,0
1.25,26.25,2000-11-03 08:25:00,0
98.75,28.75,2000-11-03 08:25:00,0
96.25,28.75,2000-11-03 08:25:00,0
93.75,28.75,2000-11-03 08:25:00,0
91.25,28.75,2000-11-03 08:25:00,0
88.75,28.75,2000-11-03 08:25:00,0
86.25,28.75,2000-11-03 08:25:00,0
83.75,28.75,2000-11-03 08:25:00,0
81.25,28.75,2000-11-03 08:25:00,0
78.75,28.75,2000-11-03 08:25:00,0
76.25,28.75,2000-11-03 08:25:00,0
73.75,28.75,2000-11-03 08:25:00,0
71.25,28.75,2000-11-03 08:25:00,-5
68.75,28.75,2000-11-03 08:25:00,1
66.25,28.75,2000-11-03 08:25:00,16
63.75,28.75,2000-11-03 08:25:00,29
61.25,28.75,2000-11-03 08:25:00,31
58.75,28.75,2000-11-03 08:25:00,28
56.25,28.75,2000-11-03 08:25:00,27
53.75,28.75,2000-11-03 08:25:00,31
51.25,28.75,2000-11-03 08:25:00,20
48.75,28.75,2000-11-03 08:25:00,19
46.25,28.75,2000-11-03 08:25:00,20
43.75,28.75,2000-11-03 08:25:00,40
41.25,28.75,2000-11-03 08:25:00,23
38.75,28.75,2000-11-03 08:25:00,24
36.25,28.75,2000-11-03 08:25:00,0
33.75,28.75,2000-11-03 08:25:00,14
31.25,28.75,2000-11-03 08:25:00,18
28.75,28.75,2000-11-03 08:25:00,23
26.25,28.75,2000-11-03 08:25:00,13
23.75,28.75,2000-11-03 08:25:00,4
21.25,28.75,2000-11-03 08:25:00,-7
18.75,28.75,2000-11-03 08:25:00,0
16.25,28.75,2000-11-03 08:25:00,-14
13.75,28.75,2000-11-03 08:25:00,0
11.25,28.75,2000-11-03 08:25:00,-16
8.75,28.75,2000-11-03 08:25:00,-4
6.25,28.75,2000-11-03 08:25:00,0
3.75,28.75,2000-11-03 08:25:00,16
1.25,28.75,2000-11-03 08:25:00,0
98.75,31.25,2000-11-03 08:25:00,0
96.25,31.25,2000-11-03 08:25:00,0
93.75,31.25,2000-11-03 08:25:00,0
91.25,31.25,2000-11-03 08:25:00,0
88.75,31.25,2000-11-03 08:25:00,0
86.25,31.25,2000-11-03 08:25:00,0
83.75,31.25,2000-11-03 08:25:00,0
81.25,31.25,2000-11-03 08:25:00,0
78.75,31.25,2000-11-03 08:25:00,0
76.25,31.25,2000-11-03 08:25:00,0
73.75,31.25,2000-11-03 08:25:00,3
71.25,31.25,2000-11-03 08:25:00,2
68.75,31.25,2000-11-03 08:25:00,5
66.25,31.25,2000-11-03 08:25:00,15
63.75,31.25,2000-11-03 08:25:00,23
61.25,31.25,2000-11-03 08:25:00,16
58.75,31.25,2000-11-03 08:25:00,33
56.25,31.25,2000-11-03 08:25:00,30
53.75,31.25,2000-11-03 08:25:00,22
51.25,31.25,2000-11-03 08:25:00,27
48.75,31.25,2000-11-03 08:25:00,20
46.25,31.25,2000-11-03 08:25:00,14
43.75,31.25,2000-11-03 08:25:00,14
41.25,31.25,2000-11-03 08:25:00,-10
38.75,31.25,2000-11-03 08:25:00,2
36.25,31.25,2000-11-03 08:25:00,31
33.75,31.25,2000-11-03 08:25:00,23
31.25,31.25,2000-11-03 08:25:00,13
28.75,31.25,2000-11-03 08:25:00,-2
26.25,31.25,2000-11-03 08:25:00,0
23.75,31.25,2000-11-03 08:25:00,-8
21.25,31.25,2000-11-03 08:25:00,-13
18.75,31.25,2000-11-03 08:25:00,-16
16.25,31.25,2000-11-03 08:25:00,0
13.75,31.25,2000-11-03 08:25:00,0
11.25,31.25,2000-11-03 08:25:00,0
8.75,31.25,2000-11-03 08:25:00,0
6.25,31.25,2000-11-03 08:25:00,15
3.75,31.25,2000-11-03 08:25:00,0
1.25,31.25,2000-11-03 08:25:00,3
98.75,33.75,2000-11-03 08:25:00,0
96.25,33.75,2000-11-03 08:25:00,0
93.75,33.75,2000-11-03 08:25:00,0
91.25,33.75,2000-11-03 08:25:00,0
88.75,33.75,2000-11-03 08:25:00,0
86.25,33.75,2000-11-03 08:25:00,0
83.75,33.75,2000-11-03 08:25:00,0
81.25,33.75,2000-11-03 08:25:00,0
78.75,33.75,2000-11-03 08:25:00,0
76.25,33.75,2000-11-03 08:25:00,0
73.75,33.75,2000-11-03 08:25:00,0
71.25,33.75,2000-11-03 08:25:00,-3
68.75,33.75,2000-11-03 08:25:00,0
66.25,33.75,2000-11-03 08:25:00,0
63.75,33.75,2000-11-03 08:25:00,10
61.25,33.75,2000-11-03 08:25:00,10
58.75,33.75,2000-11-03 08:25:00,27
56.25,33.75,2000-11-03 08:25:00,18
53.75,33.75,2000-11-03 08:25:00,15
51.25,33.75,2000-11-03 08:25:00,19
48.75,33.75,2000-11-03 08:25:00,2
46.25,33.75,2000-11-03 08:25:00,0
43.75,33.75,2000-11-03 08:25:00,-8
41.25,33.75,2000-11-03 08:25:00,0
38.75,33.75,2000-11-03 08:25:00,11
36.25,33.75,2000-11-03 08:25:00,15
33.75,33.75,2000-11-03 08:25:00,17
31.25,33.75,2000-11-03 08:25:00,14
28.75,33.75,2000-11-03 08:25:00,10
26.25,33.75,2000-11-03 08:25:00,2
23.75,33.75,2000-11-03 08:25:00,0
21.25,33.75,2000-11-03 08:25:00,0
18.75,33.75,2000-11-03 08:25:00,0
16.25,33.75,2000-11-03 08:25:00,0
13.75,33.75,2000-11-03 08:25:00,0
11.25,33.75,2000-11-03 08:25:00,0
8.75,33.75,2000-11-03 08:25:00,-7
6.25,33.75,2000-11-03 08:25:00,0
3.75,33.75,2000-11-03 08:25:00,0
1.25,33.75,2000-11-03 08:25:00,0
98.75,36.25,2000-11-03 08:25:00,0
96.25,36.25,2000-11-03 08:25:00,0
93.75,36.25,2000-11-03 08:25:00,0
91.25,36.25,2000-11-03 08:25:00,0
88.75,36.25,2000-11-03 08:25:00,0
86.25,36.25,2000-11-03 08:25:00,0
83.75,36.25,2000-11-03 08:25:00,0
81.25,36.25,2000-11-03 08:25:00,0
78.75,36.25,2000-11-03 08:25:00,0
76.25,36.25,2000-11-03 08:25:00,0
73.75,36.25,2000-11-03 08:25:00,0
71.25,36.25,2000-11-03 08:25:00,0
68.75,36.25,2000-11-03 08:25:00,0
66.25,36.25,2000-11-03 08:25:00,-6
63.75,36.25,2000-11-03 08:25:00,0
61.25,36.25,2000-11-03 08:25:00,0
58.75,36.25,2000-11-03 08:25:00,8
56.25,36.25,2000-11-03 08:25:00,19
53.75,36.25,2000-11-03 08:25:00,6
51.25,36.25,2000-11-03 08:25:00,-8
48.75,36.25,2000-11-03 08:25:00,-6
46.25,36.25,2000-11-03 08:25:00,-12
43.75,36.25,2000-11-03 08:25:00,4
41.25,36.25,2000-11-03 08:25:00,16
38.75,36.25,2000-11-03 08:25:00,14
36.25,36.25,2000-11-03 08:25:00,2
33.75,36.25,2000-11-03 08:25:00,15
31.25,36.25,2000-11-03 08:25:00,-4
28.75,36.25,2000-11-03 08:25:00,0
26.25,36.25,2000-11-03 08:25:00,0
23.75,36.25,2000-11-03 08:25:00,0
21.25,36.25,2000-11-03 08:25:00,0
18.75,36.25,2000-11-03 08:25:00,0
16.25,36.25,2000-11-03 08:25:00,0
13.75,36.25,2000-11-03 08:25:00,0
11.25,36.25,2000-11-03 08:25:00,0
8.75,36.25,2000-11-03 08:25:00,3
6.25,36.25,2000-11-03 08:25:00,-12
3.75,36.25,2000-11-03 08:25:00,0
1.25,36.25,2000-11-03 08:25:00,0
98.75,38.75,2000-11-03 08:25:00,0
96.25,38.75,2000-11-03 08:25:00,0
93.75,38.75,2000-11-03 08:25:00,0
91.25,38.75,2000-11-03 08:25:00,0
88.75,38.75,2000-11-03 08:25:00,0
